,name,Price,offer
0, BIRDE Stylish Comfortable Regular Wear Green Light Clogs For Kids ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹329.00</span>","<span class=""jm-badge""> 78% OFF </span>"
1, SMARTOTS Kids Stylised Comformtable Lightweight CuteNess Typographic Blue Casual Clogs for 15 Months to 3.5 Years Boys/Girls/Toddler/Infant/Babies ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹189.00</span>","<span class=""jm-badge""> 62% OFF </span>"
2, SMARTOTS Kids Dailwear Stylish & Trendy Sky Blue Low-top Breathable Slip-Resistant Lightweight EVA Clogs for 1 to 5.5 Years Boys/Girls/Toddler ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹189.00</span>","<span class=""jm-badge""> 62% OFF </span>"
3, SMARTOTS Kids Dailywear Stylised Comfortable Lightweight Orange Solid Casual Slippers for 15 Months to 5.5 Years Boys/Girls/Infant/Toddler/Babies ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹179.00</span>","<span class=""jm-badge""> 55% OFF </span>"
4, SMARTOTS Kids Dailywear Stylised Comfortable Lightweight Yellow Solid Casual Slippers for 15 Months to 5.5 Years Boys/Girls/Infant/Toddler/Babies ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹179.00</span>","<span class=""jm-badge""> 55% OFF </span>"
5, School shoes for Children Boys and Girls Formal white shoes for kids school shoes White size 5 ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹419.00</span>","<span class=""jm-badge""> 58% OFF </span>"
6, SMARTOTS Newborn Baby Shoes Booties & Mittens/Baby Footwear Soft Skin Friendly Comfortable Baby Socks Shoes for 6-9 Months Baby Boys/Girls Color-Red ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹169.00</span>","<span class=""jm-badge""> 66% OFF </span>"
7, Birde Stylish Regular Wear Olive Green Clogs For Kids ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹259.00</span>","<span class=""jm-badge""> 56% OFF </span>"
8, Adicon School shoes Black boys Formal Black shoes for Boys pack of 1 Black size 4 ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹419.00</span>","<span class=""jm-badge""> 58% OFF </span>"
9, NEOBABY Red Velcro Sneakers for Boys & Girls ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹373.00</span>","<span class=""jm-badge""> 75% OFF </span>"
10, BIRDE Comfortable Regular Wear Orange:Grey Light Clogs For Kids ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹329.00</span>","<span class=""jm-badge""> 78% OFF </span>"
11, KRAKKI Toddlers Teddy Print Extra Soft Clogs ,"<span class=""jm-heading-xxs jm-mb-xxs"">₹449.00</span>","<span class=""jm-badge""> 35% OFF </span>"
